DATE,VALUE
1997-01-01,89.9
1997-02-01,90.1
1997-03-01,90.2
1997-04-01,90.2
1997-05-01,90.3
1997-06-01,90.5
1997-07-01,90.5
1997-08-01,90.6
1997-09-01,90.6
1997-10-01,90.6
1997-11-01,90.5
1997-12-01,90.4
1998-01-01,90.9
1998-02-01,91
1998-03-01,91.1
1998-04-01,91
1998-05-01,91.3
1998-06-01,91.4
1998-07-01,91.4
1998-08-01,91.4
1998-09-01,91.2
1998-10-01,91.6
1998-11-01,91.6
1998-12-01,91.3
1999-01-01,91.5
1999-02-01,91.6
1999-03-01,92
1999-04-01,92.5
1999-05-01,92.7
1999-06-01,92.9
1999-07-01,93.1
1999-08-01,93.3
1999-09-01,93.6
1999-10-01,93.7
1999-11-01,93.6
1999-12-01,93.7
2000-01-01,93.5
2000-02-01,94.1
2000-03-01,94.8
2000-04-01,94.5
2000-05-01,94.9
2000-06-01,95.5
2000-07-01,95.8
2000-08-01,95.7
2000-09-01,96.1
2000-10-01,96.3
2000-11-01,96.6
2000-12-01,96.7
2001-01-01,96.3
2001-02-01,96.8
2001-03-01,97.1
2001-04-01,97.8
2001-05-01,98.6
2001-06-01,98.7
2001-07-01,98.4
2001-08-01,98.4
2001-09-01,98.6
2001-10-01,98.1
2001-11-01,97.2
2001-12-01,97.4
2002-01-01,97.6
2002-02-01,98.2
2002-03-01,98.9
2002-04-01,99.5
2002-05-01,99.7
2002-06-01,99.9
2002-07-01,100.5
2002-08-01,100.9
2002-09-01,100.9
2002-10-01,101.2
2002-11-01,101.5
2002-12-01,101.1
2003-01-01,102
2003-02-01,102.8
2003-03-01,103.1
2003-04-01,102.4
2003-05-01,102.5
2003-06-01,102.5
2003-07-01,102.6
2003-08-01,102.9
2003-09-01,103.1
2003-10-01,102.8
2003-11-01,103.1
2003-12-01,103.2
2004-01-01,103.3
2004-02-01,103.5
2004-03-01,103.9
2004-04-01,104.1
2004-05-01,105
2004-06-01,105.1
2004-07-01,105
2004-08-01,104.8
2004-09-01,105
2004-10-01,105.2
2004-11-01,105.6
2004-12-01,105.4
2005-01-01,105.3
2005-02-01,105.7
2005-03-01,106.3
2005-04-01,106.6
2005-05-01,106.7
2005-06-01,106.9
2005-07-01,107.1
2005-08-01,107.5
2005-09-01,108.4
2005-10-01,107.9
2005-11-01,107.7
2005-12-01,107.6
2006-01-01,108.2
2006-02-01,108
2006-03-01,108.6
2006-04-01,109.2
2006-05-01,109.7
2006-06-01,109.5
2006-07-01,109.6
2006-08-01,109.8
2006-09-01,109.2
2006-10-01,109
2006-11-01,109.2
2006-12-01,109.4
2007-01-01,109.4
2007-02-01,110.2
2007-03-01,111.1
2007-04-01,111.6
2007-05-01,112.1
2007-06-01,111.9
2007-07-01,112
2007-08-01,111.7
2007-09-01,111.9
2007-10-01,111.6
2007-11-01,111.9
2007-12-01,112
2008-01-01,111.8
2008-02-01,112.2
2008-03-01,112.6
2008-04-01,113.5
2008-05-01,114.6
2008-06-01,115.4
2008-07-01,115.8
2008-08-01,115.6
2008-09-01,115.7
2008-10-01,114.5
2008-11-01,114.1
2008-12-01,113.3
2009-01-01,113
2009-02-01,113.8
2009-03-01,114
2009-04-01,113.9
2009-05-01,114.7
2009-06-01,115.1
2009-07-01,114.7
2009-08-01,114.7
2009-09-01,114.7
2009-10-01,114.6
2009-11-01,115.2
2009-12-01,114.8
2010-01-01,115.1
2010-02-01,115.6
2010-03-01,115.6
2010-04-01,116
2010-05-01,116.3
2010-06-01,116.2
2010-07-01,116.8
2010-08-01,116.7
2010-09-01,116.9
