Series ID,Year,Period,Label,Value
APU000072610,1997,M01,1997 Jan,0.092
APU000072610,1997,M02,1997 Feb,0.092
APU000072610,1997,M03,1997 Mar,0.093
APU000072610,1997,M04,1997 Apr,0.092
APU000072610,1997,M05,1997 May,0.093
APU000072610,1997,M06,1997 Jun,0.099
APU000072610,1997,M07,1997 Jul,0.099
APU000072610,1997,M08,1997 Aug,0.098
APU000072610,1997,M09,1997 Sep,0.099
APU000072610,1997,M10,1997 Oct,0.093
APU000072610,1997,M11,1997 Nov,0.092
APU000072610,1997,M12,1997 Dec,0.090
APU000072610,1998,M01,1998 Jan,0.086
APU000072610,1998,M02,1998 Feb,0.085
APU000072610,1998,M03,1998 Mar,0.085
APU000072610,1998,M04,1998 Apr,0.085
APU000072610,1998,M05,1998 May,0.086
APU000072610,1998,M06,1998 Jun,0.091
APU000072610,1998,M07,1998 Jul,0.091
APU000072610,1998,M08,1998 Aug,0.090
APU000072610,1998,M09,1998 Sep,0.089
APU000072610,1998,M10,1998 Oct,0.086
APU000072610,1998,M11,1998 Nov,0.084
APU000072610,1998,M12,1998 Dec,0.084
APU000072610,1999,M01,1999 Jan,0.084
APU000072610,1999,M02,1999 Feb,0.084
APU000072610,1999,M03,1999 Mar,0.084
APU000072610,1999,M04,1999 Apr,0.084
APU000072610,1999,M05,1999 May,0.085
APU000072610,1999,M06,1999 Jun,0.089
APU000072610,1999,M07,1999 Jul,0.090
APU000072610,1999,M08,1999 Aug,0.089
APU000072610,1999,M09,1999 Sep,0.090
APU000072610,1999,M10,1999 Oct,0.087
APU000072610,1999,M11,1999 Nov,0.085
APU000072610,1999,M12,1999 Dec,0.085
APU000072610,2000,M01,2000 Jan,0.084
APU000072610,2000,M02,2000 Feb,0.085
APU000072610,2000,M03,2000 Mar,0.085
APU000072610,2000,M04,2000 Apr,0.085
APU000072610,2000,M05,2000 May,0.085
APU000072610,2000,M06,2000 Jun,0.090
APU000072610,2000,M07,2000 Jul,0.091
APU000072610,2000,M08,2000 Aug,0.091
APU000072610,2000,M09,2000 Sep,0.091
APU000072610,2000,M10,2000 Oct,0.088
APU000072610,2000,M11,2000 Nov,0.086
APU000072610,2000,M12,2000 Dec,0.086
APU000072610,2001,M01,2001 Jan,0.088
APU000072610,2001,M02,2001 Feb,0.088
APU000072610,2001,M03,2001 Mar,0.089
APU000072610,2001,M04,2001 Apr,0.089
APU000072610,2001,M05,2001 May,0.090
APU000072610,2001,M06,2001 Jun,0.097
APU000072610,2001,M07,2001 Jul,0.099
APU000072610,2001,M08,2001 Aug,0.098
APU000072610,2001,M09,2001 Sep,0.097
APU000072610,2001,M10,2001 Oct,0.093
APU000072610,2001,M11,2001 Nov,0.090
APU000072610,2001,M12,2001 Dec,0.090
APU000072610,2002,M01,2002 Jan,0.089
APU000072610,2002,M02,2002 Feb,0.089
APU000072610,2002,M03,2002 Mar,0.089
APU000072610,2002,M04,2002 Apr,0.088
APU000072610,2002,M05,2002 May,0.089
APU000072610,2002,M06,2002 Jun,0.095
APU000072610,2002,M07,2002 Jul,0.095
APU000072610,2002,M08,2002 Aug,0.095
APU000072610,2002,M09,2002 Sep,0.095
APU000072610,2002,M10,2002 Oct,0.091
APU000072610,2002,M11,2002 Nov,0.089
APU000072610,2002,M12,2002 Dec,0.089
APU000072610,2003,M01,2003 Jan,0.089
APU000072610,2003,M02,2003 Feb,0.089
APU000072610,2003,M03,2003 Mar,0.089
APU000072610,2003,M04,2003 Apr,0.091
APU000072610,2003,M05,2003 May,0.092
APU000072610,2003,M06,2003 Jun,0.097
APU000072610,2003,M07,2003 Jul,0.098
APU000072610,2003,M08,2003 Aug,0.098
APU000072610,2003,M09,2003 Sep,0.098
APU000072610,2003,M10,2003 Oct,0.093
APU000072610,2003,M11,2003 Nov,0.090
APU000072610,2003,M12,2003 Dec,0.090
APU000072610,2004,M01,2004 Jan,0.091
APU000072610,2004,M02,2004 Feb,0.091
APU000072610,2004,M03,2004 Mar,0.091
APU000072610,2004,M04,2004 Apr,0.091
APU000072610,2004,M05,2004 May,0.093
APU000072610,2004,M06,2004 Jun,0.099
APU000072610,2004,M07,2004 Jul,0.099
APU000072610,2004,M08,2004 Aug,0.100
APU000072610,2004,M09,2004 Sep,0.099
APU000072610,2004,M10,2004 Oct,0.094
APU000072610,2004,M11,2004 Nov,0.092
APU000072610,2004,M12,2004 Dec,0.092
