Series ID,Year,Period,Label,Value
APU0000711311,1997,M01,1997 Jan,0.555
APU0000711311,1997,M02,1997 Feb,0.554
APU0000711311,1997,M03,1997 Mar,0.546
APU0000711311,1997,M04,1997 Apr,0.598
APU0000711311,1997,M05,1997 May,0.706
APU0000711311,1997,M11,1997 Nov,0.642
APU0000711311,1997,M12,1997 Dec,0.583
APU0000711311,1998,M01,1998 Jan,0.525
APU0000711311,1998,M02,1998 Feb,0.507
APU0000711311,1998,M03,1998 Mar,0.505
APU0000711311,1998,M04,1998 Apr,0.571
APU0000711311,1998,M05,1998 May,0.672
APU0000711311,1998,M12,1998 Dec,0.608
APU0000711311,1999,M01,1999 Jan,0.830
APU0000711311,1999,M02,1999 Feb,0.889
APU0000711311,1999,M03,1999 Mar,0.869
APU0000711311,1999,M04,1999 Apr,0.944
APU0000711311,1999,M11,1999 Nov,0.884
APU0000711311,1999,M12,1999 Dec,0.641
APU0000711311,2000,M01,2000 Jan,0.607
APU0000711311,2000,M02,2000 Feb,0.586
APU0000711311,2000,M03,2000 Mar,0.572
APU0000711311,2000,M04,2000 Apr,0.573
APU0000711311,2000,M05,2000 May,0.638
APU0000711311,2000,M06,2000 Jun,0.699
APU0000711311,2000,M11,2000 Nov,0.725
APU0000711311,2000,M12,2000 Dec,0.624
APU0000711311,2001,M01,2001 Jan,0.638
APU0000711311,2001,M02,2001 Feb,0.660
APU0000711311,2001,M03,2001 Mar,0.646
APU0000711311,2001,M04,2001 Apr,0.735
APU0000711311,2001,M05,2001 May,0.793
APU0000711311,2001,M11,2001 Nov,0.867
APU0000711311,2001,M12,2001 Dec,0.713
APU0000711311,2002,M01,2002 Jan,0.715
APU0000711311,2002,M02,2002 Feb,0.759
APU0000711311,2002,M03,2002 Mar,0.710
APU0000711311,2002,M04,2002 Apr,0.751
APU0000711311,2002,M05,2002 May,0.849
APU0000711311,2002,M10,2002 Oct,1.163
APU0000711311,2002,M11,2002 Nov,0.998
APU0000711311,2002,M12,2002 Dec,0.742
APU0000711311,2003,M01,2003 Jan,0.713
APU0000711311,2003,M02,2003 Feb,0.711
APU0000711311,2003,M03,2003 Mar,0.728
APU0000711311,2003,M04,2003 Apr,0.742
APU0000711311,2003,M05,2003 May,0.800
APU0000711311,2003,M06,2003 Jun,0.875
APU0000711311,2003,M10,2003 Oct,1.141
APU0000711311,2003,M11,2003 Nov,0.971
APU0000711311,2003,M12,2003 Dec,0.862
APU0000711311,2004,M01,2004 Jan,0.793
APU0000711311,2004,M02,2004 Feb,0.725
APU0000711311,2004,M03,2004 Mar,0.730
APU0000711311,2004,M04,2004 Apr,0.744
APU0000711311,2004,M05,2004 May,0.770
APU0000711311,2004,M06,2004 Jun,0.878
APU0000711311,2004,M09,2004 Sep,1.142
APU0000711311,2004,M11,2004 Nov,1.080
APU0000711311,2004,M12,2004 Dec,0.865
APU0000711311,2005,M01,2005 Jan,0.838
APU0000711311,2005,M02,2005 Feb,0.802
APU0000711311,2005,M03,2005 Mar,0.783
APU0000711311,2005,M04,2005 Apr,0.816
APU0000711311,2005,M05,2005 May,0.899
APU0000711311,2005,M06,2005 Jun,1.012
APU0000711311,2005,M09,2005 Sep,1.363
APU0000711311,2005,M10,2005 Oct,1.388
