DATE,West_Texas_Crude_Oil_Spot_Price,Imported_Crude_Oil_Average_Price,Refiner_Average_Crude_Oil_Acquisition_Cost,Brent_Crude_Oil_Spot_Price,Gasoline_Price,Diesel_Fuel_Price,Fuel_Oil_Price
1997-01-01,31.66,29.01,29.72,29.66,24.96,23.30,18.49
1997-02-01,27.95,26.31,27.27,26.27,24.30,22.63,17.17
1997-03-01,26.41,24.14,24.97,24.10,23.63,20.64,15.32
1997-04-01,24.82,22.47,23.12,22.11,23.30,20.64,15.59
1997-05-01,26.23,23.37,23.68,23.97,23.63,20.30,15.59
1997-06-01,24.27,21.86,22.43,22.15,22.63,18.97,14.53
1997-07-01,24.77,22.04,22.48,23.26,22.63,18.64,14.27
1997-08-01,25.14,22.63,22.92,23.42,24.96,19.64,14.53
1997-09-01,24.95,22.49,22.86,23.26,23.97,19.31,14.27
1997-10-01,26.86,23.60,24.15,25.02,22.97,20.64,15.59
1997-11-01,25.44,22.53,23.34,24.15,21.97,20.64,15.32
1997-12-01,23.10,20.10,21.31,21.65,20.64,18.31,14.00
1998-01-01,21.07,18.06,18.95,19.14,19.31,16.64,12.94
1998-02-01,20.24,16.78,17.61,17.73,18.31,15.98,12.68
1998-03-01,19.05,15.55,16.18,16.51,17.31,15.31,11.89
1998-04-01,19.34,16.14,16.46,17.05,18.31,15.98,11.89
1998-05-01,18.79,15.89,16.32,18.09,19.31,15.64,11.36
1998-06-01,17.29,14.63,15.04,15.38,18.64,14.65,10.57
1998-07-01,17.85,14.55,14.99,15.22,17.97,14.31,10.30
1998-08-01,16.97,14.29,14.83,15.01,16.98,13.65,9.77
1998-09-01,18.94,16.09,16.39,16.81,16.98,15.31,11.10
1998-10-01,18.22,15.26,15.89,16.00,17.31,15.31,10.83
1998-11-01,16.38,13.85,14.57,13.91,15.98,13.65,10.30
1998-12-01,14.30,11.83,12.36,12.37,14.31,11.65,9.25
1999-01-01,15.78,12.80,13.14,14.00,14.98,11.98,9.51
1999-02-01,15.13,13.02,13.29,12.94,14.31,11.65,8.72
1999-03-01,18.50,15.25,15.28,15.76,17.31,14.31,10.57
