,eggs,electricity,milk,bread,bacon,chicken_breast,chicken_whole,bananas,rice,coffee,ground_chuck,cookies,oranges,tomatoes,cpi_values,year_month
0,3.446,0.166,4.098,1.936,6.613,4.324,1.868,0.632,0.982,6.184,4.753,5.234,1.509,1.932,301.836,2023-03
1,4.211,0.168,4.163,1.896,6.595,4.365,1.894,0.641,0.959,6.351,4.777,5.177,1.549,1.99,300.84,2023-02
2,4.823,0.168,4.204,1.888,6.808,4.315,1.855,0.639,0.97,6.358,4.644,5.058,1.514,2.11,299.17,2023-01
3,4.25,0.165,4.211,1.873,6.956,4.348,1.83,0.628,0.971,6.465,4.758,4.974,1.485,2.228,296.797,2022-12
4,3.589,0.163,4.218,1.847,7.243,4.42,1.843,0.631,0.963,6.356,4.728,4.942,1.641,2.107,297.711,2022-11
5,3.419,0.166,4.184,1.814,7.608,4.67,1.863,0.634,0.963,6.408,4.789,4.869,1.73,1.974,298.012,2022-10
6,2.902,0.167,4.181,1.749,7.383,4.746,1.891,0.643,0.939,6.17,4.89,4.796,1.73,1.901,296.808,2022-09
7,3.116,0.167,4.194,1.756,7.372,4.706,1.879,0.643,0.925,6.235,5.12,4.676,1.703,1.89,296.171,2022-08
8,2.936,0.164,4.156,1.715,7.415,4.608,1.88,0.64,0.929,6.112,5.075,4.654,1.6,1.842,296.276,2022-07
9,2.707,0.16,4.153,1.691,7.403,4.568,1.826,0.64,0.924,5.793,4.997,4.567,1.546,1.842,296.311,2022-06
10,2.863,0.154,4.204,1.606,7.364,4.31,1.824,0.642,0.909,5.835,4.894,4.505,1.505,1.819,292.296,2022-05
11,2.52,0.151,4.012,1.612,7.422,4.096,1.794,0.637,0.9,5.529,4.945,4.174,1.48,1.794,289.109,2022-04
12,2.046,0.15,3.917,1.607,7.203,3.87,1.724,0.642,0.871,5.41,4.87,4.147,1.445,1.827,287.504,2022-03
13,2.005,0.148,3.875,1.578,7.097,3.815,1.632,0.628,0.83,5.247,4.627,4.15,1.427,1.826,283.716,2022-02
14,1.929,0.147,3.787,1.555,7.222,3.726,1.622,0.63,0.832,5.135,4.765,4.223,1.448,1.892,281.148,2022-01
15,1.788,0.142,3.743,1.532,7.211,3.725,1.606,0.622,0.82,4.965,4.792,4.089,1.44,1.906,278.802,2021-12
16,1.718,0.142,3.671,1.547,7.265,3.618,1.583,0.619,0.844,4.816,4.81,3.999,1.49,1.924,277.948,2021-11
17,1.821,0.142,3.663,1.526,7.317,3.589,1.523,0.6,0.788,4.8,4.869,3.815,1.354,1.892,276.589,2021-10
18,1.835,0.144,3.585,1.58,7.22,3.517,1.504,0.597,0.798,4.733,4.786,3.981,1.317,1.828,274.31,2021-09
19,1.709,0.144,3.56,1.467,7.096,3.536,1.472,0.589,0.784,4.726,4.636,4.065,1.32,1.858,273.567,2021-08
20,1.642,0.143,3.627,1.491,6.857,3.5,1.435,0.594,0.782,4.562,4.521,4.065,1.266,1.827,273.003,2021-07
21,1.642,0.142,3.557,1.51,6.67,3.353,1.474,0.595,0.778,4.605,4.565,4.068,1.321,1.83,271.696,2021-06
22,1.625,0.14,3.497,1.511,6.346,3.371,1.486,0.6,0.801,4.566,4.495,4.019,1.303,1.804,269.195,2021-05
23,1.62,0.139,3.447,1.51,6.215,3.406,1.515,0.604,0.785,4.752,4.29,3.939,1.329,1.786,267.054,2021-04
24,1.625,0.138,3.348,1.526,5.852,3.291,1.543,0.594,0.772,4.671,4.377,3.964,1.296,1.768,264.877,2021-03
25,1.597,0.137,3.368,1.537,5.778,3.239,1.583,0.59,0.779,4.673,4.252,3.8,1.209,1.838,263.014,2021-02
26,1.466,0.136,3.468,1.546,5.831,3.26,1.595,0.597,0.794,4.591,4.31,3.669,1.174,1.928,261.582,2021-01
27,1.481,0.136,3.535,1.538,5.831,3.293,1.621,0.572,0.789,4.52,4.202,3.793,1.218,1.893,260.474,2020-12
28,1.45,0.136,3.425,1.515,5.754,3.412,1.639,0.578,0.791,4.485,4.33,3.767,1.244,1.935,260.229,2020-11
29,1.408,0.135,3.38,1.503,5.722,3.29,1.58,0.577,0.766,4.522,4.212,3.848,1.327,1.911,260.388,2020-10
30,1.353,0.137,3.448,1.492,5.619,3.302,1.542,0.574,0.777,4.487,4.165,3.659,1.429,1.847,260.28,2020-09
31,1.328,0.137,3.406,1.495,5.559,3.276,1.609,0.576,0.769,4.504,4.307,3.769,1.47,1.874,259.918,2020-08
32,1.401,0.137,3.255,1.485,5.776,3.221,1.712,0.58,0.772,4.536,4.732,3.696,1.426,1.977,259.101,2020-07
33,1.554,0.137,3.198,1.474,5.772,3.349,1.747,0.588,0.749,4.517,5.33,3.717,1.442,1.922,257.797,2020-06
34,1.64,0.134,3.21,1.412,5.348,3.348,1.571,0.589,0.748,4.466,4.789,3.617,1.411,1.851,256.394,2020-05
35,2.019,0.133,3.267,1.406,5.346,3.158,1.4,0.581,0.733,4.396,4.343,3.826,1.296,2.197,256.389,2020-04
36,1.525,0.134,3.248,1.374,5.257,2.956,1.362,0.576,0.734,4.334,4.108,3.633,1.331,2.221,258.115,2020-03
37,1.449,0.134,3.196,1.375,5.497,3.013,1.409,0.574,0.716,4.25,4.033,3.551,1.28,1.954,258.678,2020-02
38,1.461,0.134,3.253,1.351,5.505,3.059,1.45,0.57,0.714,4.174,4.1,3.525,1.346,1.903,257.971,2020-01
39,1.535,0.133,3.188,1.363,5.474,3.113,1.43,0.573,0.721,4.053,4.066,3.584,1.298,1.779,256.974,2019-12
40,1.405,0.133,3.189,1.361,5.505,2.94,1.538,0.573,0.773,4.197,3.993,3.603,1.344,1.911,257.208,2019-11
41,1.282,0.136,3.119,1.325,5.653,2.948,1.487,0.573,0.797,4.174,4.027,3.602,1.389,1.864,257.346,2019-10
42,1.383,0.139,3.102,1.296,5.571,2.93,1.514,0.569,0.793,4.306,3.885,3.587,1.437,1.799,256.759,2019-09
