,US,CA,OECD_EUROPE,JP,EURASIA,NON_OECD_EUROPE,CHINA,year_month
0,20.73122,2.339731613,13.391611817,3.773071623,4.819232214,0.758041339,16.91446933,2024-12
1,20.69505,2.334603397,13.464508688,3.298537584,4.811526994,0.783102517,16.46750943,2024-11
2,20.70228,2.313666182,13.901371639,3.063162256,4.75886253,0.792071472,15.51601214,2024-10
3,20.64385,2.338683277,14.040847991,3.033966777,4.871449533,0.780066561,16.47189918,2024-09
4,21.05525,2.385031286,13.6558436,3.109828837,4.955847034,0.772437881,15.64331833,2024-08
5,20.9481,2.330245298,13.792021198,3.012463637,4.831558062,0.769370576,16.13552324,2024-07
6,20.88778,2.310354105,13.672177509,2.884858128,4.755721002,0.779598215,16.203998,2024-06
7,20.72987,2.252893992,13.129924915,2.855874399,4.542806622,0.772758485,16.39115365,2024-05
8,20.55168,2.19569368,13.452229735,3.113770923,4.407200889,0.757822878,16.63174848,2024-04
9,20.56105,2.25122132,13.372242755,3.446037431,4.430046756,0.765580065,16.30385902,2024-03
10,20.45411,2.354180342,13.672935665,3.747922187,4.542447134,0.753401428,16.40628175,2024-02
11,20.33417,2.309714877,12.768264204,3.505875739,4.288624131,0.73487276,15.93786087,2024-01
12,20.46613,2.319783202,13.401741544,3.837445546,4.667157916,0.749909464,16.51290605,2023-12
13,20.51898,2.314720627,13.474203642,3.354772142,4.65904879,0.774701797,16.07754203,2023-11
14,20.45132,2.294051408,13.908461055,3.115359579,4.607293856,0.783574537,15.15073031,2023-10
15,20.32108,2.318748285,14.047105541,3.08566333,4.718503421,0.771698411,16.0818179,2023-09
16,20.7583,2.364503043,13.664397398,3.162826601,4.801186084,0.764151567,15.27473368,2023-08
17,20.64702,2.310418312,13.799762807,3.063791361,4.679647522,0.761117169,15.75416887,2023-07
18,20.82365,2.290781724,13.680633884,2.93399712,4.605641618,0.77123509,15.82086713,2023-06
19,20.49221,2.234057097,13.141615394,2.904516252,4.397518668,0.76446873,16.00316723,2023-05
20,20.20025,2.177588946,13.461997924,3.166836302,4.264813902,0.749693344,16.23752008,2023-04
21,20.320590089,2.232405836,13.382488001,3.504801955,4.288010514,0.757367319,15.91813736,2023-03
22,19.748820869,2.334046988,13.681387524,3.811864738,4.397910422,0.745319327,16.01790284,2023-02
23,19.538974,2.290150679,12.7821117,3.56566663,4.14983887,0.726989427,15.56163464,2023-01
24,19.49118,2.493694,13.308,4.0008064516,4.669156538,0.749152895,15.77924301,2022-12
25,20.593068,2.371363,13.4065,3.4530666667,4.662024398,0.773705283,15.35526261,2022-11
26,20.41471,2.186831,13.305677419,3.227516129,4.611655697,0.782374795,14.45268455,2022-10
27,20.469952,2.288623,14.220366667,3.1538333333,4.719908108,0.770343517,15.35942667,2022-09
28,20.601035,2.354472,14.159486,3.314548,4.801168924,0.762630606,14.57344556,2022-08
29,20.345034,2.494482,13.884516,3.097968,4.681935776,0.759418786,15.0403448,2022-07
30,20.771961,2.3596,13.69393,3.119733,4.609231108,0.769327614,15.10529907,2022-06
31,20.076819,2.121357,13.378517,2.953677,4.404825052,0.762391151,15.28283251,2022-05
32,19.957375,2.137466,13.199598,3.006533,4.274707077,0.747463765,15.51105765,2022-04
33,20.511874,2.104765,13.463223,3.499097,4.296719989,0.754932191,15.20002595,2022-03
34,20.435638,2.371814,13.710396,3.830643,4.404858225,0.742724317,15.29718282,2022-02
35,19.73101,2.254983,12.439934,3.790452,4.161112509,0.724248575,14.85284482,2022-01
36,20.65669,2.330674,13.79316129,4.1273225806,4.7870546873,0.73711768469,15.93850362,2021-12
37,20.572648,2.391409,13.865966667,3.5085333333,4.7438183425,0.76926264745,15.503934336,2021-11
38,20.37715,2.267709,14.159548387,3.3328387097,4.6788113255,0.78198582359,14.587237947,2021-10
39,20.138569,2.372685,14.225166667,3.3073,4.8496976627,0.76060409773,15.494190394,2021-09
40,20.572573,2.438533,13.654548387,3.0992258065,4.9397058491,0.76300186482,14.695413459,2021-08
41,20.171831,2.462838,13.763548387,3.1118064516,4.8240455105,0.75977670101,15.159502283,2021-07
42,20.585873,2.349877,13.4492,3.0514,4.761743891,0.75037406086,15.218714999,2021-06
43,20.049743,2.095596,12.198225806,2.9159354839,4.5681837262,0.752871011,15.391591818,2021-05
44,19.743699,2.044309,12.3596,3.2451666667,4.4355648258,0.73101966341,15.615762227,2021-04
45,19.132116,2.238842,12.556645161,3.617516129,4.5062093074,0.72285500802,15.29667285,2021-03
46,17.699108,2.149824,12.042392857,3.8741785714,4.6115531541,0.71705171849,15.389164348,2021-02
47,18.814348,2.166386,11.264419355,3.8147096774,4.3832545946,0.69523280361,14.93614059,2021-01
48,18.801689,2.087044,12.223290323,3.9692580645,4.6360227393,0.69809952248,15.068673585,2020-12
49,18.742516,2.314839,12.310066667,3.5134666667,4.5942643986,0.72965366376,14.657820544,2020-11
50,18.613648,2.147741,12.926774194,3.2282903226,4.5315159233,0.74152298202,13.791152067,2020-10
51,18.414828,2.222597,13.1712,3.1365,4.6965711397,0.72243444354,14.648608369,2020-09
52,18.557874,2.198497,12.423870968,3.1115483871,4.7834701295,0.72413787039,13.893423993,2020-08
53,18.381069,2.182421,12.972709677,3.0557741935,4.6718312807,0.72086996099,14.332185572,2020-07
