,uk_brent_prices,wti_prices,year_month
0,78.43,73.28,2023-03
1,82.59,76.83,2023-02
2,82.5,78.12,2023-01
3,80.92,76.44,2022-12
4,91.42,84.37,2022-11
5,93.33,87.55,2022-10
6,89.76,84.26,2022-09
7,100.45,93.67,2022-08
8,111.93,101.62,2022-07
9,122.71,114.84,2022-06
10,113.34,109.55,2022-05
11,104.58,101.78,2022-04
12,117.25,108.5,2022-03
13,97.13,91.64,2022-02
14,86.51,83.22,2022-01
15,74.17,71.71,2021-12
16,81.05,79.15,2021-11
17,83.54,81.48,2021-10
18,74.49,71.65,2021-09
19,70.61,67.7,2021-08
20,75.17,72.49,2021-07
21,73.16,71.38,2021-06
22,68.53,65.17,2021-05
23,64.81,61.72,2021-04
24,65.41,62.33,2021-03
25,62.28,59.04,2021-02
26,54.77,52.0,2021-01
27,49.99,47.02,2020-12
28,42.69,40.94,2020-11
29,40.19,39.4,2020-10
30,40.91,39.63,2020-09
31,44.74,42.34,2020-08
32,43.24,40.71,2020-07
33,40.27,38.31,2020-06
34,29.38,28.56,2020-05
35,18.38,16.55,2020-04
36,32.01,29.21,2020-03
37,55.66,50.54,2020-02
38,63.65,57.52,2020-01
39,67.31,59.88,2019-12
40,63.21,57.03,2019-11
41,59.71,53.96,2019-10
42,62.83,56.95,2019-09
43,59.04,54.81,2019-08
44,63.92,57.35,2019-07
45,64.22,54.66,2019-06
46,71.32,60.83,2019-05
47,71.23,63.86,2019-04
48,66.14,58.15,2019-03
49,63.96,54.95,2019-02
50,59.41,51.38,2019-01
51,57.36,49.52,2018-12
52,64.75,56.96,2018-11
53,81.03,70.75,2018-10
54,78.89,70.23,2018-09
55,72.53,68.06,2018-08
56,74.25,70.98,2018-07
57,74.41,67.87,2018-06
58,76.98,69.98,2018-05
59,72.11,66.25,2018-04
60,66.02,62.73,2018-03
61,65.32,62.23,2018-02
62,69.08,63.7,2018-01
63,64.37,57.88,2017-12
64,62.71,56.64,2017-11
65,57.51,51.58,2017-10
66,56.15,49.82,2017-09
67,51.7,48.04,2017-08
68,48.48,46.63,2017-07
69,46.37,45.18,2017-06
70,50.33,48.48,2017-05
71,52.31,51.06,2017-04
72,51.59,49.33,2017-03
73,54.87,53.47,2017-02
74,54.58,52.5,2017-01
75,53.31,51.97,2016-12
76,44.73,45.66,2016-11
77,49.52,49.78,2016-10
78,46.57,45.18,2016-09
79,45.84,44.72,2016-08
80,44.95,44.65,2016-07
81,48.25,48.76,2016-06
82,46.74,46.71,2016-05
83,41.58,40.75,2016-04
84,38.21,37.55,2016-03
85,32.18,30.32,2016-02
86,30.7,31.68,2016-01
87,38.01,37.19,2015-12
88,44.27,42.44,2015-11
89,48.43,46.22,2015-10
90,47.62,45.48,2015-09
91,46.52,42.87,2015-08
92,56.56,50.9,2015-07
93,61.48,59.82,2015-06
94,64.08,59.27,2015-05
95,59.52,54.45,2015-04
96,55.89,47.82,2015-03
97,58.1,50.58,2015-02
98,47.76,47.22,2015-01
99,62.34,59.29,2014-12
100,79.44,75.79,2014-11
101,87.43,84.4,2014-10
102,97.09,93.21,2014-09
103,101.61,96.54,2014-08
104,106.77,103.59,2014-07
105,111.8,105.79,2014-06
106,109.54,102.18,2014-05
107,107.76,102.07,2014-04
108,107.48,100.8,2014-03
109,108.9,100.82,2014-02
110,108.12,94.62,2014-01
111,110.76,97.63,2013-12
112,107.79,93.86,2013-11
113,109.08,100.54,2013-10
114,111.6,106.29,2013-09
115,111.28,106.57,2013-08
116,107.93,104.67,2013-07
117,102.92,95.77,2013-06
118,102.56,94.51,2013-05
119,102.25,92.02,2013-04
120,108.47,92.94,2013-03
121,116.05,95.31,2013-02
122,112.96,94.76,2013-01
123,109.49,87.86,2012-12
124,109.06,86.53,2012-11
125,111.71,89.49,2012-10
126,112.86,94.51,2012-09
127,113.36,94.13,2012-08
128,102.62,87.9,2012-07
