,US,CA,MX,OPEC,EURASIA,CHINA,year_month
0,21.8585025,6.4458047753,1.8825505482,34.430920273,13.575318444,5.2437787482,2024-12
1,21.8617366,6.368254434,1.8834890719,34.464088885,13.572939516,5.2883480075,2024-11
2,21.6207021,6.2275369402,1.8957459383,34.61078224,13.534127258,5.2707360996,2024-10
3,21.6937198,6.0453594715,1.929212737,34.73529799,13.471098545,5.2539565186,2024-09
4,21.7240014,6.1775455448,1.9296091601,34.780003081,13.416434013,5.2327764637,2024-08
5,21.638853,6.1702476951,1.941252697,34.770020403,13.539060664,5.1976867038,2024-07
6,21.6216733,5.9519591734,1.9543021194,34.755747775,13.529393867,5.2655270684,2024-06
7,21.6411587,5.8599018561,1.9590276127,34.651084694,13.45109483,5.2316285272,2024-05
8,21.5853788,5.9733921867,1.9615863456,34.620762145,13.509651814,5.2100071616,2024-04
9,21.5136139,6.2052346343,1.9721656326,34.66258105,13.510313178,5.2032571667,2024-03
10,21.3187254,6.2345112361,1.9757908679,34.59911732,13.530655069,5.210366518,2024-02
11,21.3147856,6.2215656555,1.9519506769,34.695865733,13.487409995,5.2198556116,2024-01
12,21.3789751,6.2435574452,1.957141241,33.51808122,13.462338073,5.2521064159,2023-12
13,21.434962,6.1660084265,1.9481432129,33.441311138,13.460474694,5.2963651452,2023-11
14,21.1457562,6.0247838642,1.9504918496,33.477975418,13.422001296,5.2774929509,2023-10
15,21.1851736,5.8414851835,1.9740696698,33.667448241,13.371451112,5.2593255503,2023-09
16,21.2075695,5.9716858221,1.9655584801,33.702170693,13.376114457,5.2371897193,2023-08
17,21.129978,5.9607998649,1.9681452386,33.642177993,13.435924483,5.2008734295,2023-07
18,21.1455795,5.736528504,1.9719129427,33.652984747,13.443871169,5.2686197842,2023-06
19,21.2242929,5.6339992225,1.9668345178,33.498256428,13.297378807,5.2331332946,2023-05
20,21.197699,5.7300751725,1.9588814043,33.827892525,13.592852785,5.2101351684,2023-04
21,21.104955514,5.9329921597,1.9618186619,34.006722332,13.930040476,5.2024418842,2023-03
22,20.791692266,5.913523965,1.9559783314,33.998004853,14.172791437,5.3257834712,2023-02
23,20.787074161,5.819832108,1.991185272,33.818651328,14.065311065,5.3161663517,2023-01
24,20.007119129,5.7621188342,1.9019214999,34.411504262,14.101949414,5.0136957462,2022-12
25,20.9804412,5.9174413741,1.9091932241,34.242966591,14.083144929,5.1138464716,2022-11
26,20.994088806,5.8057309335,1.9027517641,34.644072796,13.549485667,5.0918464716,2022-10
27,20.877557767,5.677219297,1.9009344581,35.1120173,13.410538356,5.0728464716,2022-09
28,20.418112581,5.750992,1.90316,35.026937,13.4687514,5.018846,2022-08
29,20.515787742,5.7283759405,1.8969261182,33.995885169,13.790788815,5.0588464716,2022-07
30,20.354989167,5.5345326208,1.9005271657,33.743867696,13.54311895,5.2108464716,2022-06
31,20.043596452,5.409976248,1.8924271657,33.528821297,13.46183636,5.1638464716,2022-05
32,19.959041433,5.6019283986,1.8833271657,34.018289629,13.176435517,5.1658464716,2022-04
33,19.98812029,5.7582210287,1.9013271657,33.723923401,14.342086279,5.1958464716,2022-03
34,19.078598679,5.7272735364,1.9101271657,34.1099178,14.445047874,5.1168464716,2022-02
35,19.228027516,5.4868128908,1.9293205095,33.441799595,14.39149838,5.2078464716,2022-01
