,CAN,CHN,MEX,NOEC,OECD,OPEC,RUS,USA,year_month
0,3.278,3.648,3.878,15.142,8.127,30.22,9.047,8.794,2004-01
1,3.343,3.701,3.824,15.11,8.036,30.213,9.086,8.827,2004-02
2,3.283,3.62,3.849,15.04,8.088,30.764,9.149,8.878,2004-03
3,3.198,3.663,3.926,15.046,7.932,30.294,9.212,8.812,2004-04
4,3.209,3.697,3.879,15.109,7.75,30.864,9.281,8.798,2004-05
5,3.283,3.734,3.922,15.155,8.013,31.87,9.452,8.592,2004-06
6,3.242,3.722,3.835,15.236,7.989,32.154,9.502,8.735,2004-07
7,3.253,3.771,3.811,15.382,7.082,31.853,9.573,8.722,2004-08
8,3.237,3.799,3.9,15.483,7.153,32.279,9.619,8.301,2004-09
9,3.206,3.699,3.92,15.542,7.619,32.56,9.597,8.484,2004-10
10,3.289,3.763,3.829,15.499,7.791,32.264,9.587,8.845,2004-11
11,3.196,3.744,3.688,15.487,7.592,32.302,9.529,8.876,2004-12
12,3.175,3.851,3.818,15.488,7.497,31.913,9.472,8.692,2005-01
13,3.15,3.851,3.814,15.465,7.538,32.598,9.535,8.799,2005-02
14,3.044,3.821,3.699,15.603,7.697,32.317,9.539,8.854,2005-03
15,3.116,3.835,3.884,15.673,7.662,32.754,9.506,8.887,2005-04
16,3.164,3.858,3.911,15.646,7.582,32.935,9.532,8.933,2005-05
17,3.038,3.893,3.902,15.813,7.007,32.792,9.627,8.709,2005-06
18,3.078,3.886,3.512,15.784,7.31,33.096,9.664,8.366,2005-07
19,3.213,3.906,3.872,15.874,6.92,33.15,9.705,8.379,2005-08
20,3.096,3.863,3.813,16.067,7.128,32.588,9.755,7.07,2005-09
21,3.322,3.887,3.658,16.071,7.065,32.906,9.795,7.386,2005-10
22,3.449,3.86,3.753,16.196,7.223,32.901,9.821,7.939,2005-11
23,3.576,3.767,3.849,16.118,7.251,32.905,9.809,7.934,2005-12
24,3.506,3.948,3.843,16.176,7.26,32.734,9.601,8.214,2006-01
25,3.409,3.919,3.777,16.282,7.287,33.165,9.617,8.207,2006-02
26,3.271,3.958,3.812,16.318,7.176,33.103,9.71,8.089,2006-03
27,3.394,3.932,3.844,16.385,6.874,32.543,9.757,8.235,2006-04
28,3.167,3.957,3.801,16.123,6.898,32.453,9.783,8.349,2006-05
29,3.125,3.982,3.755,16.082,6.554,33.117,9.823,8.391,2006-06
30,3.328,3.962,3.713,16.416,7.03,33.481,9.84,8.376,2006-07
31,3.402,3.917,3.728,16.442,6.621,33.206,9.65,8.388,2006-08
32,3.384,3.906,3.716,16.607,6.515,32.974,9.688,8.348,2006-09
33,3.512,3.907,3.611,16.6,6.857,32.759,9.745,8.375,2006-10
34,3.529,3.926,3.585,16.663,6.951,32.46,9.771,8.299,2006-11
35,3.567,3.849,3.416,16.666,6.97,32.053,9.814,8.491,2006-12
36,3.479,4.083,3.588,16.771,6.895,31.947,10.024,8.374,2007-01
37,3.574,4.034,3.588,16.965,7.092,32.021,10.053,8.337,2007-02
38,3.606,3.98,3.635,16.877,6.791,32.096,10.061,8.417,2007-03
39,3.503,4.043,3.637,16.806,7.001,32.037,9.971,8.474,2007-04
40,3.423,4.075,3.558,16.875,6.612,31.848,9.99,8.552,2007-05
41,3.32,4.119,3.658,16.884,6.279,31.867,10.044,8.461,2007-06
42,3.44,3.938,3.608,16.873,6.706,32.512,10.071,8.463,2007-07
43,3.664,4.041,3.257,16.957,6.264,32.086,10.087,8.375,2007-08
44,3.486,4.011,3.543,16.511,6.378,32.644,10.046,8.343,2007-09
45,3.532,4.017,3.387,16.977,6.755,33.133,10.073,8.479,2007-10
46,3.53,4.021,3.287,17.047,6.718,32.71,10.024,8.595,2007-11
47,3.361,3.986,3.347,17.152,6.711,33.017,10.007,8.714,2007-12
48,3.346,4.123,3.322,17.588,6.589,33.186,9.876,8.669,2008-01
49,3.352,4.126,3.306,17.594,6.576,33.265,9.879,8.684,2008-02
50,3.439,4.149,3.234,17.553,6.569,33.474,9.85,8.736,2008-03
51,3.294,4.131,3.156,17.676,6.551,33.175,9.81,8.752,2008-04
52,3.175,4.191,3.191,17.801,6.708,33.481,9.83,8.891,2008-05
53,3.196,4.264,3.234,18.034,6.282,33.619,9.853,8.745,2008-06
54,3.42,4.187,3.18,18.139,6.559,34.005,9.863,8.874,2008-07
55,3.43,4.153,3.151,17.978,6.031,33.892,9.931,8.717,2008-08
56,3.301,4.167,3.108,18.091,6.299,33.658,9.927,7.125,2008-09
57,3.343,4.23,3.148,18.102,6.583,33.578,9.95,8.337,2008-10
58,3.452,4.239,3.089,18.12,6.687,32.881,9.876,8.68,2008-11
59,3.39,4.078,3.11,17.813,6.66,32.297,9.848,8.529,2008-12
60,3.396,4.159,3.076,17.456,6.502,31.378,9.875,8.622,2009-01
61,3.477,4.137,3.052,17.625,6.688,31.36,9.86,8.793,2009-02
62,3.351,4.13,3.051,17.561,6.672,31.316,9.917,8.861,2009-03
63,3.104,4.194,3.047,17.939,6.524,31.538,10.013,8.967,2009-04
64,3.056,4.174,3.016,18.171,6.13,31.608,9.982,9.151,2009-05
65,3.213,4.223,2.907,18.282,6.079,31.709,10.013,9.127,2009-06
66,3.412,4.211,2.952,18.313,6.412,31.927,10.033,9.201,2009-07
67,3.322,4.252,2.94,18.342,5.881,31.983,10.091,9.282,2009-08
68,3.265,4.236,2.988,18.479,5.922,31.942,10.185,9.478,2009-09
69,3.333,4.243,2.989,18.561,6.302,31.954,10.193,9.404,2009-10
70,3.47,4.211,2.948,18.541,6.469,31.994,10.218,9.313,2009-11
71,3.312,4.182,2.998,18.246,6.345,31.991,10.177,9.422,2009-12
72,3.226,4.45,3.015,18.191,6.595,31.329,10.207,9.378,2010-01
73,3.306,4.419,3.009,18.226,6.518,31.407,10.243,9.686,2010-02
74,3.337,4.452,3.001,18.249,6.761,31.322,10.278,9.685,2010-03
75,3.376,4.432,2.996,18.632,6.734,31.309,10.24,9.529,2010-04
76,3.425,4.528,2.998,18.82,6.518,31.261,10.287,9.632,2010-05
77,3.436,4.584,2.953,18.825,5.974,31.492,10.325,9.545,2010-06
78,3.445,4.539,2.97,19.143,6.223,31.335,10.307,9.497,2010-07
79,3.505,4.583,2.955,19.185,5.818,31.403,10.215,9.719,2010-08
80,3.315,4.667,2.964,18.907,5.984,31.507,10.309,9.865,2010-09
81,3.405,4.665,2.961,18.632,6.382,31.496,10.417,9.852,2010-10
82,3.655,4.76,2.902,18.712,6.38,31.482,10.309,9.923,2010-11
83,3.715,4.605,2.975,18.501,6.286,31.667,10.316,10.067,2010-12
84,3.575,4.802,3.002,18.432,6.343,32.637,10.406,9.789,2011-01
85,3.465,4.753,2.962,18.382,6.183,32.595,10.41,9.495,2011-02
86,3.566,4.724,2.986,18.331,6.086,31.259,10.389,10.005,2011-03
87,3.536,4.691,2.99,18.114,6.251,31.373,10.434,9.933,2011-04
88,3.204,4.67,2.975,18.324,5.841,31.601,10.458,10.101,2011-05
89,3.312,4.581,2.961,18.681,5.869,32.211,10.406,10.064,2011-06
90,3.585,4.52,2.944,18.694,5.923,32.492,10.477,9.931,2011-07
91,3.735,4.591,2.953,18.838,5.75,32.532,10.454,10.245,2011-08
92,3.645,4.511,2.883,18.86,5.712,32.534,10.184,10.091,2011-09
93,3.724,4.455,2.946,18.425,6.022,32.328,10.545,10.497,2011-10
94,3.725,4.542,2.916,18.587,6.113,33.049,10.222,10.783,2011-11
95,3.917,4.563,2.943,18.354,6.044,33.094,10.511,10.822,2011-12
96,3.872,4.655,2.912,18.278,6.068,33.458,10.567,10.823,2012-01
97,4.043,4.619,2.939,18.068,6.056,33.701,10.562,10.936,2012-02
98,3.781,4.648,2.957,17.686,5.981,34.092,10.564,10.946,2012-03
99,3.909,4.693,2.952,17.748,6.046,34.27,10.533,10.893,2012-04
100,3.679,4.654,2.944,17.997,5.844,33.916,10.554,11.061,2012-05
101,3.588,4.596,2.944,18.026,5.718,34.045,10.532,10.905,2012-06
102,3.768,4.601,2.92,18.305,5.767,33.996,10.554,10.938,2012-07
103,3.748,4.704,2.957,18.429,5.532,34.071,10.58,10.916,2012-08
104,3.665,4.803,2.944,18.072,5.008,33.902,10.616,11.192,2012-09
105,3.887,4.879,2.893,18.252,5.417,33.354,10.661,11.567,2012-10
106,3.995,4.821,2.946,18.22,5.574,33.358,10.728,11.759,2012-11
107,4.181,4.81,2.915,17.989,5.747,32.968,10.697,11.768,2012-12
108,4.1,4.845,2.953,17.872,5.577,32.61,10.706,11.6,2013-01
109,4.011,4.799,2.944,17.721,5.564,32.601,10.7,11.695,2013-02
110,4.172,4.835,2.895,17.61,5.555,32.67,10.706,11.838,2013-03
111,3.97,4.826,2.895,17.82,5.666,33.126,10.713,12.162,2013-04
112,3.699,4.85,2.878,18.277,5.712,33.024,10.73,12.141,2013-05
113,3.859,4.931,2.906,18.544,5.42,32.958,10.664,12.127,2013-06
114,4.019,4.717,2.875,18.434,5.769,33.176,10.765,12.516,2013-07
115,4.194,4.759,2.908,18.279,5.441,33.138,10.778,12.6,2013-08
116,4.055,4.813,2.911,18.377,5.207,32.341,10.796,12.976,2013-09
117,4.048,4.899,2.926,18.431,5.371,32.372,10.825,12.87,2013-10
118,4.231,4.909,2.899,18.545,5.631,31.841,10.912,13.091,2013-11
119,4.317,4.905,2.908,18.275,5.8,32.033,10.888,13.086,2013-12
120,4.363,4.956,2.882,17.622,5.726,32.777,10.878,13.082,2014-01
121,4.394,4.99,2.891,17.885,5.852,32.83,10.851,13.119,2014-02
122,4.452,4.941,2.872,17.589,5.793,32.332,10.848,13.342,2014-03
123,4.325,4.917,2.865,18.003,5.635,32.082,10.827,13.811,2014-04
124,4.166,4.963,2.881,18.264,5.409,32.438,10.827,13.887,2014-05
125,4.288,5.047,2.821,18.473,5.429,32.455,10.84,14.288,2014-06
126,4.34,4.865,2.767,18.576,5.542,32.679,10.731,14.379,2014-07
127,4.279,4.904,2.801,18.939,5.254,32.896,10.804,14.488,2014-08
128,4.317,4.977,2.775,18.707,5.461,33.235,10.826,14.56,2014-09
129,4.499,5.027,2.744,18.905,5.689,33.551,10.928,14.755,2014-10
130,4.506,5.094,2.736,18.651,5.723,33.044,10.925,14.915,2014-11
131,4.612,5.119,2.73,18.492,5.804,33.378,10.95,15.196,2014-12
132,4.685,5.058,2.627,18.298,5.737,32.883,11.02,14.779,2015-01
133,4.726,5.044,2.703,18.138,5.63,32.809,10.959,14.941,2015-02
134,4.615,5.082,2.684,18.23,5.634,33.601,11.042,15.085,2015-03
135,4.283,5.084,2.537,18.311,5.791,33.792,10.889,15.363,2015-04
136,3.982,5.097,2.575,18.479,5.789,34.029,11.05,15.229,2015-05
137,4.187,5.234,2.597,18.744,5.752,34.371,10.961,15.066,2015-06
138,4.601,5.089,2.626,18.666,5.691,34.512,10.998,15.245,2015-07
139,4.742,5.104,2.609,18.839,5.626,34.186,11.048,15.236,2015-08
140,4.282,5.143,2.613,18.605,5.637,34.542,10.989,15.269,2015-09
141,4.402,5.085,2.62,18.627,5.836,34.316,11.12,15.236,2015-10
142,4.669,5.123,2.603,18.545,5.88,34.457,11.14,15.25,2015-11
143,4.756,5.101,2.603,18.416,5.936,34.511,11.186,15.149,2015-12
144,4.797,5.002,2.598,17.929,5.809,34.941,11.26,15.003,2016-01
145,4.717,4.989,2.535,17.989,5.757,34.458,11.26,14.842,2016-02
146,4.637,4.934,2.527,17.855,5.7,34.598,11.297,15.039,2016-03
147,4.299,4.885,2.498,18.214,5.634,34.816,11.2,14.863,2016-04
148,3.661,4.827,2.496,18.559,5.528,34.697,11.165,15.037,2016-05
149,3.962,4.891,2.52,18.727,5.285,35.123,11.153,14.828,2016-06
150,4.587,4.798,2.496,18.926,5.667,35.285,10.929,14.862,2016-07
151,4.725,4.738,2.484,18.442,5.355,35.178,10.966,14.651,2016-08
152,4.729,4.756,2.435,18.699,5.054,35.233,11.354,14.467,2016-09
