Series ID,Year,Period,Label,Value
APU0000709112,1997,M01,1997 Jan,2.677
APU0000709112,1997,M02,1997 Feb,2.632
APU0000709112,1997,M03,1997 Mar,2.632
APU0000709112,1997,M04,1997 Apr,2.606
APU0000709112,1997,M05,1997 May,2.608
APU0000709112,1997,M06,1997 Jun,2.587
APU0000709112,1997,M07,1997 Jul,2.557
APU0000709112,1997,M08,1997 Aug,2.551
APU0000709112,1997,M09,1997 Sep,2.533
APU0000709112,1997,M10,1997 Oct,2.635
APU0000709112,1997,M11,1997 Nov,2.678
APU0000709112,1997,M12,1997 Dec,2.672
APU0000709112,1998,M01,1998 Jan,2.632
APU0000709112,1998,M02,1998 Feb,2.653
APU0000709112,1998,M03,1998 Mar,2.658
APU0000709112,1998,M04,1998 Apr,2.668
APU0000709112,1998,M05,1998 May,2.666
APU0000709112,1998,M06,1998 Jun,2.622
APU0000709112,1998,M07,1998 Jul,2.628
APU0000709112,1998,M08,1998 Aug,2.717
APU0000709112,1998,M09,1998 Sep,2.757
APU0000709112,1998,M10,1998 Oct,2.785
APU0000709112,1998,M11,1998 Nov,2.800
APU0000709112,1998,M12,1998 Dec,2.859
APU0000709112,1999,M01,1999 Jan,2.940
APU0000709112,1999,M02,1999 Feb,3.004
APU0000709112,1999,M03,1999 Mar,3.003
APU0000709112,1999,M04,1999 Apr,2.707
APU0000709112,1999,M05,1999 May,2.716
APU0000709112,1999,M06,1999 Jun,2.704
APU0000709112,1999,M07,1999 Jul,2.706
APU0000709112,1999,M08,1999 Aug,2.719
APU0000709112,1999,M09,1999 Sep,2.794
APU0000709112,1999,M10,1999 Oct,2.964
APU0000709112,1999,M11,1999 Nov,2.981
APU0000709112,1999,M12,1999 Dec,2.875
APU0000709112,2000,M01,2000 Jan,2.785
APU0000709112,2000,M02,2000 Feb,2.777
APU0000709112,2000,M03,2000 Mar,2.748
APU0000709112,2000,M04,2000 Apr,2.773
APU0000709112,2000,M05,2000 May,2.782
APU0000709112,2000,M06,2000 Jun,2.763
APU0000709112,2000,M07,2000 Jul,2.781
APU0000709112,2000,M08,2000 Aug,2.807
APU0000709112,2000,M09,2000 Sep,2.809
APU0000709112,2000,M10,2000 Oct,2.805
APU0000709112,2000,M11,2000 Nov,2.753
APU0000709112,2000,M12,2000 Dec,2.785
APU0000709112,2001,M01,2001 Jan,2.852
APU0000709112,2001,M02,2001 Feb,2.847
APU0000709112,2001,M03,2001 Mar,2.760
APU0000709112,2001,M04,2001 Apr,2.845
APU0000709112,2001,M05,2001 May,2.893
APU0000709112,2001,M06,2001 Jun,2.911
APU0000709112,2001,M07,2001 Jul,2.933
APU0000709112,2001,M08,2001 Aug,2.890
APU0000709112,2001,M09,2001 Sep,2.941
APU0000709112,2001,M10,2001 Oct,2.954
APU0000709112,2001,M11,2001 Nov,2.890
APU0000709112,2001,M12,2001 Dec,2.895
APU0000709112,2002,M01,2002 Jan,2.812
APU0000709112,2002,M02,2002 Feb,2.807
APU0000709112,2002,M03,2002 Mar,2.816
APU0000709112,2002,M04,2002 Apr,2.779
APU0000709112,2002,M05,2002 May,2.782
APU0000709112,2002,M06,2002 Jun,2.768
APU0000709112,2002,M07,2002 Jul,2.747
APU0000709112,2002,M08,2002 Aug,2.720
APU0000709112,2002,M09,2002 Sep,2.728
APU0000709112,2002,M10,2002 Oct,2.727
APU0000709112,2002,M11,2002 Nov,2.719
APU0000709112,2002,M12,2002 Dec,2.682
APU0000709112,2003,M01,2003 Jan,2.686
APU0000709112,2003,M02,2003 Feb,2.689
APU0000709112,2003,M03,2003 Mar,2.656
APU0000709112,2003,M04,2003 Apr,2.674
APU0000709112,2003,M05,2003 May,2.685
APU0000709112,2003,M06,2003 Jun,2.676
APU0000709112,2003,M07,2003 Jul,2.708
APU0000709112,2003,M08,2003 Aug,2.666
APU0000709112,2003,M09,2003 Sep,2.904
APU0000709112,2003,M10,2003 Oct,2.905
APU0000709112,2003,M11,2003 Nov,2.937
APU0000709112,2003,M12,2003 Dec,2.947
APU0000709112,2004,M01,2004 Jan,2.879
APU0000709112,2004,M02,2004 Feb,2.814
APU0000709112,2004,M03,2004 Mar,2.786
APU0000709112,2004,M04,2004 Apr,2.906
APU0000709112,2004,M05,2004 May,3.374
APU0000709112,2004,M06,2004 Jun,3.574
APU0000709112,2004,M07,2004 Jul,3.479
APU0000709112,2004,M08,2004 Aug,3.297
APU0000709112,2004,M09,2004 Sep,3.149
APU0000709112,2004,M10,2004 Oct,3.161
APU0000709112,2004,M11,2004 Nov,3.219
APU0000709112,2004,M12,2004 Dec,3.233
APU0000709112,2005,M01,2005 Jan,3.304
APU0000709112,2005,M02,2005 Feb,3.176
APU0000709112,2005,M03,2005 Mar,3.226
APU0000709112,2005,M04,2005 Apr,3.225
APU0000709112,2005,M05,2005 May,3.207
APU0000709112,2005,M06,2005 Jun,3.122
APU0000709112,2005,M07,2005 Jul,3.090
APU0000709112,2005,M08,2005 Aug,3.136
APU0000709112,2005,M09,2005 Sep,3.133
APU0000709112,2005,M10,2005 Oct,3.171
APU0000709112,2005,M11,2005 Nov,3.211
APU0000709112,2005,M12,2005 Dec,3.241
APU0000709112,2006,M01,2006 Jan,3.197
APU0000709112,2006,M02,2006 Feb,3.224
APU0000709112,2006,M03,2006 Mar,3.161
APU0000709112,2006,M04,2006 Apr,3.123
APU0000709112,2006,M05,2006 May,3.066
APU0000709112,2006,M06,2006 Jun,3.001
APU0000709112,2006,M07,2006 Jul,3.083
APU0000709112,2006,M08,2006 Aug,3.019
APU0000709112,2006,M09,2006 Sep,3.049
APU0000709112,2006,M10,2006 Oct,3.064
APU0000709112,2006,M11,2006 Nov,2.985
APU0000709112,2006,M12,2006 Dec,3.004
APU0000709112,2007,M01,2007 Jan,3.067
APU0000709112,2007,M02,2007 Feb,3.083
APU0000709112,2007,M03,2007 Mar,3.072
APU0000709112,2007,M04,2007 Apr,3.135
APU0000709112,2007,M05,2007 May,3.259
APU0000709112,2007,M06,2007 Jun,3.427
APU0000709112,2007,M07,2007 Jul,3.736
APU0000709112,2007,M08,2007 Aug,3.807
APU0000709112,2007,M09,2007 Sep,3.841
APU0000709112,2007,M10,2007 Oct,3.838
APU0000709112,2007,M11,2007 Nov,3.904
APU0000709112,2007,M12,2007 Dec,3.870
APU0000709112,2008,M01,2008 Jan,3.871
APU0000709112,2008,M02,2008 Feb,3.869
APU0000709112,2008,M03,2008 Mar,3.781
APU0000709112,2008,M04,2008 Apr,3.799
APU0000709112,2008,M05,2008 May,3.760
APU0000709112,2008,M06,2008 Jun,3.773
APU0000709112,2008,M07,2008 Jul,3.961
APU0000709112,2008,M08,2008 Aug,3.886
APU0000709112,2008,M09,2008 Sep,3.773
APU0000709112,2008,M10,2008 Oct,3.656
APU0000709112,2008,M11,2008 Nov,3.734
APU0000709112,2008,M12,2008 Dec,3.681
APU0000709112,2009,M01,2009 Jan,3.575
APU0000709112,2009,M02,2009 Feb,3.319
APU0000709112,2009,M03,2009 Mar,3.116
APU0000709112,2009,M04,2009 Apr,3.084
APU0000709112,2009,M05,2009 May,3.068
